"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","450-1129-ND","FSM4JSMA","SWITCH TACTILE SPST-NO 0.05A 24V","","2","0","0.27000","0.54"
"2","1","768-1156-5-ND","FT231XS-U","IC USB SERIAL FULL UART 20SSOP","","1","0","2.34000","2.34"
"3","1","296-25379-5-ND","DRV8811PWP","IC MTR DRV BIPLR 3-5.5V 28HTSSOP","","1","0","5.35000","5.35"
"4","1","732-5318-ND","61300511121","CONN HEADER VERT 5POS 2.54MM","","1","0","0.26000","0.26"
"5","1","1470-VR10S05-ND","VR10S05","DC DC CONVERTER 5V","","1","0","2.85000","2.85"
"6","2","36-476-4-ND","476-4","CONN BANANA JACK MINIATURE SLDR","","2","0","0.77000","1.54"
"7","1","PT1.5/4-5.0-H","1935187","TERM BLK 4POS SIDE ENTRY 5MM PCB","","1","0","1.05000","1.05"
"8","2","281-1883-ND","1760520000","TERM BLK 3P SIDE ENT 5.08MM PCB","","2","0","0.92000","1.84"
"9","2","495-2456-1-ND","B32529C0102K289","CAP FILM 1000PF 10% 63VDC RADIAL","","2","0","0.32000","0.64"
"10","1","1276-1066-1-ND","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805","","1","0","0.10000","0.10"
"11","1","311-2788-1-ND","RT0805DRE0714K5L","RES SMD 14.5K OHM 0.5% 1/8W 0805","","1","0","0.13000","0.13"
"12","1","P20814CT-ND","ERJ-PB6B8452V","RES SMD 84.5K OHM 0.1% 1/4W 0805","","1","0","0.40000","0.40"
"13","1","SDR1307-4R7MLCT-ND","SDR1307-4R7ML","FIXED IND 4.7UH 7A 10 MOHM SMD","","1","0","1.07000","1.07"
"14","1","296-TLV9051IDCKRCT-ND","TLV9051IDCKR","IC OPAMP GP 1 CIRCUIT SC70-5","","1","0","0.62000","0.62"
"15","2","296-53049-1-ND","TLV9052IDR","IC CMOS 2 CIRCUIT 8SOIC","","2","0","0.93000","1.86"
"16","3","478-10431-1-ND","08051C224KAT2A","CAP CER 0.22UF 100V X7R 0805","","3","0","0.26000","0.78"
"17","2","478-11894-1-ND","08055A6R0CAT2A","CAP CER 6PF 50V C0G/NP0 0805","","2","0","0.24000","0.48"
"18","2","478-1328-1-ND","08055A102JAT2A","CAP CER 1000PF 50V C0G/NP0 0805","","2","0","0.12000","0.24"
"19","1","478-1323-1-ND","08055A391JAT2A","CAP CER 390PF 50V C0G/NP0 0805","","1","0","0.16000","0.16"
"20","1","732-4983-1-ND","150080GS75000","LED GREEN CLEAR 0805 SMD","","1","0","0.19000","0.19"
"21","1","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","","1","0","0.19000","0.19"
"22","1","732-3155-1-ND","629105136821","CONN RCPT USB2.0 MICRO B SMD R/A","","1","0","1.29000","1.29"
"23","1","732-8026-1-ND","885012207016","CAP CER 0.1UF 10V X7R 0805","","1","0","0.10000","0.10"
"24","1","535-11937-1-ND","ABS07-120-32.768KHZ-T","CRYSTAL 32.7680KHZ 6PF SMD","","1","0","0.84000","0.84"
"25","1","B540C-FDICT-ND","B540C-13-F","DIODE SCHOTTKY 40V 5A SMC","","1","0","0.52000","0.52"
"26","1","399-C0805C104K5RAC7800CT-ND","C0805C104K5RAC7800","CAP CER 0.1UF 50V X7R 0805","","1","0","0.14000","0.14"
"27","10","399-C0805C106K8PAC7800CT-ND","C0805C106K8PAC7800","CAP CER 10UF 10V X5R 0805","","10","0","0.10300","1.03"
"28","3","311-1458-1-ND","CC0805KKX7R6BB105","CAP CER 1UF 10V X7R 0805","","3","0","0.14000","0.42"
"29","1","1276-1052-1-ND","CL21A106KPFNNNE","CAP CER 10UF 10V X5R 0805","","1","0","0.11000","0.11"
"30","1","1276-CL21A226MAYNNNECT-ND","CL21A226MAYNNNE","CAP CER 22UF 25V X5R 0805","","1","0","0.26000","0.26"
"31","2","A129730CT-ND","CRGCQ0805F27R","RES 27 OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"32","1","448-CYBLE-416045-02CT-ND","CYBLE-416045-02","RF TXRX MODULE BT TRC ANT SMD","","1","0","17.07000","17.07"
"33","1","PCE3783CT-ND","EEE-FK1C101P","CAP ALUM 100UF 20% 16V SMD","","1","0","0.51000","0.51"
"34","1","P150DACT-ND","ERA-6AEB151V","RES 150 OHM 0.1% 1/8W 0805","","1","0","0.36000","0.36"
"35","2","P47KACT-ND","ERJ-6GEYJ473V","RES SMD 47K OHM 5% 1/8W 0805","","2","0","0.10000","0.20"
"36","1","P280AACT-ND","ERJ-14NF2800U","RES SMD 280 OHM 1% 1/2W 1210","","1","0","0.46000","0.46"
"37","1","RHM1.10KAECT-ND","ESR10EZPF1101","RES SMD 1.1K OHM 1% 0.4W 0805","","1","0","0.21000","0.21"
"38","3","490-1719-1-ND","GRM21BR60J226ME39L","CAP CER 22UF 6.3V X5R 0805","","3","0","0.37000","1.11"
"39","9","1276-1003-1-ND","CL21B104KBCNNNC","CAP CER 0.1UF 50V X7R 0805","","9","0","0.10000","0.90"
