Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","ABS07-120-32.768KHZ-T","CRYSTAL 32.7680KHZ 6PF SMD","Y200","CMP-2000-07587-2","Released","Up to date","1","Abracon","ABS07-120-32.768KHZ-T","Volume Production","Mouser","815-ABS0712032.768KT","0.76","0.76"
"","B540C-13-F","DIODE SCHOTTKY 40V 5A SMC","D800","CMP-2000-05097-3","New From Design","Up to date","1","Diodes","B540C-13-F","Volume Production","Arrow Electronics","B540C-13-F","0.4382","0.4382"
"","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","C201","CMP-2007-00279-2","New From Design","Up to date","1","KEMET","C0805C104K5RACTU","Volume Production","Newark","19C6015","0.024","0.024"
"","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C200, C301, C302, C303, C304, C305, C306, C402, C511, C602","CMP-2007-03243-2","New From Design","Up to date","10","KEMET","C0805C106K8PACTU","Unknown","Newark","58M4436","0.023","0.23"
"","CC0805KKX7R6BB105","CAP CER 1UF 10V X7R 0805","C401, C510, C601","CMP-03422-000182-1","New From Design","Up to date","3","Yageo","CC0805KKX7R6BB105","Volume Production","Newark","65R8864","0.008","0.024"
"","CL21A106KPFNNNE","CL21 Series 0805 10uF 10V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C803","CMP-2000-06103-2","New From Design","Up to date","1","Samsung","CL21A106KPFNNNE","Volume Production","Newark","82AC9394","0.018","0.018"
"","CL21A226MAYNNNE","CL21 Series 0805 22uF 25V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor","C804","CMP-13271-003225-1","New From Design","Up to date","1","Samsung","CL21A226MAYNNNE","Volume Production","Future Electronics","6117417","0.245","0.245"
"","CL21B104KBCNNNC","CL21 Series 0805 100nF 50V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor","C504, C506, C507, C509, C700, C701, C702, C703, C704","CMP-2000-05017-2","New From Design","Up to date","9","Samsung","CL21B104KBCNNNC","Volume Production","Newark","82AC9428","0.009","0.081"
"","CRCW08052K00FKEA","RES Thick Film, 2kO, 1%, 0.125W, 100ppm/°C, 0805","R300","CMP-2001-03755-2","New From Design","Up to date","1","Vishay","CRCW08052K00FKEA","Unknown","Newark","52K9946","0.008","0.008"
"","CRGCQ0805F27R","CRGCQ0805 27O 0.125W ±200ppm/°C 1% 150V","R700, R701","CMP-03211-007904-1","New From Design","Up to date","2","TE Connectivity","CRGCQ0805F27R","Volume Production","Arrow Electronics","CRGCQ0805F27R","0.016","0.032"
"","CYBLE-416045-02","RF TXRX MOD BLUETOOTH TRACE ANT","MD200","CMP-12964-000002-1","New From Design","Up to date","1","Cypress","CYBLE-416045-02","Volume Production","Digi-Key","428-4622-1-ND","",""
